ROOM_TYPE;STUFFS;VOLUME;CARTON;VOLUME CARTON;CARTON LIVRE;HOUSSE 90;HOUSSE 140;COUVERTURE
CHAMBRE ;LIT SIMPLE ;2;0;0;;1;0;0
CHAMBRE ;LIT DOUBLE ;3;0;0;;0;1;0
CHAMBRE ;LIT TWIN ;3;0;0;;1;1;0
CHAMBRE ;COMMODE ;1;5;0,5;;0;0;1
CHAMBRE ;CHEVET ;0,5;1;0,2;;0;0;0
CHAMBRE ;ARMOIRE 1 PORTE;2;5;0,5;;0;0;0
CHAMBRE ;ARMOIRE 2 PORTES;3;10;1;;0;0;0
CHAMBRE ;ARMOIRE 3 PORTES;4;10;1;;0;0;0
BUREAU ;BUREAU ;2;0;0;;0;0;1
BUREAU ;CHAISE ;1;0;0;;0;0;0
BUREAU ;CAISSON ;1;2;1;;0;0;0
BUREAU ;ORDINATEUR ;0,5;1;0;;0;0;0
BUREAU ;ARMOIRE BASSE ;1;1;0,5;;0;0;0
BUREAU ;IMPRIMANTE;0,5;2;0;;0;0;0
SALON ;FAUTEUIL ;1;0;0;;0;0;1
SALON ;CANAPE ANGLE;1,5;0;0;;0;0;1
SALON ;CANAPE 3 PLACES;4;0;0;;0;0;1
SALON ;CANAPE 2 PLACES;2,5;0;0;;0;0;1
SALON ;TABLE BASSE ;0,5;0;0;;0;0;0
SALON ;MEUBLE TV ;1;2;0,5;;0;0;0
SALON ;TV;0,5;2;0;;0;0;0
SALON ;BUFFET ;2;0;0;;0;0;1
SALLE A MANGER ;TABLE ;3;0;0;;0;0;0
SALLE A MANGER ;CHAISE ;0,5;0;0;;0;0;0
SALLE A MANGER ;BUFFET BAS ;2;10;1;;0;0;0
SALLE A MANGER ;TAPIS ;0,5;0;0;;0;0;0
SALLE A MANGER ;MIROIR ;0,5;2;0;;0;0;0
SALLE A MANGER ;PLANTES ;0,5;0;0;;0;0;0
CUISINE ;FRIGO AMERICAIN ;3;0;0;;0;0;0
CUISINE ;FRIGO HAUT ;2;0;0;;0;0;0
CUISINE ;FRIGO TOP ;1;0;0;;0;0;0
CUISINE ;LAVE VAISSELLE ;1;0;0;;0;0;0
CUISINE ;FOUR ;0,8;0;0;;0;0;0
CUISINE ;MICRO ONDE ;0,5;0;0;;0;0;0
CUISINE ;MACHINE A CAFE ;0,5;0;0;;0;0;0
CUISINE ;ELEMENT CUISINE ;1;5;0,5;;0;0;0
CUISINE ;TABLE ;2;0;0;;0;0;1
CUISINE ;CHAISE ;0,5;0;0;;0;0;0
CUISINE ;LUSTRE ;0,3;2;0,2;;0;0;0
BUANDERIE ;LAVE LINGE;1;0;0;;0;0;0
BUANDERIE ;ASPIRATEUR ;0,5;0;0;;0;0;0
BUANDERIE ;TABLE A REPASSSER ;0,5;0;0;;0;0;0
BUANDERIE ;SEAU ;0,1;0;0;;0;0;0
DIVERS;BARBECUE;1;0;0;;0;0;0
DIVERS;PIANO ;3;0;0;;0;0;1
DIVERS;BATTERIE;4;0;0;;0;0;1
DIVERS;VELO;1;0;0;;0;0;0
DIVERS;GUITARE;0,5;0;0;;0;0;0
DIVERS;TROMPETTE;0,1;0;0;;0;0;0
SALLE DE BAIN ;COLONNE;1;5;0,5;;0;0;0
SALLE DE BAIN ;MEUBLE BAS ;0,8;3;0,3;;0;0;0
